
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
svchost.exe                  15860 Services                   0      1,060 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  26084 Services                   0      1,728 K Unknown         N/A                                                     0:00:04 N/A                                                                     
svchost.exe                  28040 Services                   0      1,528 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                  36880 Services                   0      2,584 K Unknown         N/A                                                     0:00:02 N/A                                                                     
csrss.exe                    37556 Console                    5      1,784 K Unknown         N/A                                                     0:03:43 N/A                                                                     
winlogon.exe                 33884 Console                    5      1,416 K Unknown         N/A                                                     0:00:01 N/A                                                                     
fontdrvhost.exe              34396 Console                    5         24 K Unknown         N/A                                                     0:00:02 N/A                                                                     
dwm.exe                       2968 Console                    5     44,276 K Running         N/A                                                     3:42:09 DWM Notification Window                                                 
NVDisplay.Container.exe      26520 Console                    5     13,804 K Running         N/A                                                     0:00:41 UxdService                                                              
svchost.exe                  17188 Services                   0        940 K Unknown         N/A                                                     0:00:00 N/A                                                                     
GooglePlayGamesServices.e    41812 Services                   0     35,468 K Unknown         N/A                                                     0:41:45 N/A                                                                     
crashpad_handler.exe         18352 Services                   0        616 K Unknown         N/A                                                     0:00:00 N/A                                                                     
ipf_helper.exe               14608 Console                    5      1,104 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:04:09 N/A                                                                     
ETDCtrl.exe                  11308 Console                    5        712 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 My Favorites Setting                                                    
sihost.exe                    2252 Console                    5     12,336 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:02:34 N/A                                                                     
svchost.exe                   2224 Console                    5      8,232 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:25 N/A                                                                     
svchost.exe                   1220 Console                    5      2,164 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
svchost.exe                  30276 Console                    5     11,548 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:26 Windows Push Notifications Platform                                     
taskhostw.exe                31616 Console                    5      5,900 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:48 Task Host Window                                                        
OverlayHelper.exe            26528 Console                    5     22,128 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:29:19 .NET-BroadcastEventWindow.4.0.0.0.232467a.0                             
McUpdaterModule.exe          34400 Console                    5      1,748 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:09 N/A                                                                     
OmenInstallMonitor.exe       35656 Console                    5      5,132 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:19 N/A                                                                     
SystemOptimizer.exe          22212 Console                    5      7,120 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:08 OLEChannelWnd                                                           
SSScheduler.exe              34728 Console                    5      2,484 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:21 N/A                                                                     
CrossDeviceResume.exe        38796 Console                    5      3,904 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:02 CrossDeviceResumeWindow                                                 
RtkAudUService64.exe         19368 Console                    5        624 K Running         N/A                                                     0:00:10 RealtekAudioAdminBackgroundProcessClass                                 
svchost.exe                  37688 Console                    5     13,964 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:30 N/A                                                                     
RuntimeBroker.exe            28376 Console                    5     11,092 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:31 N/A                                                                     
svchost.exe                  22308 Console                    5      2,560 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
Widgets.exe                  16324 Console                    5     20,588 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:36 OleMainThreadWndName                                                    
ctfmon.exe                     992 Console                    5      9,564 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:02:21 N/A                                                                     
brave.exe                     2776 Console                    5   3,98,692 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          2:29:31 ChatGPT - Brave                                                         
brave.exe                     9300 Console                    5        924 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
brave.exe                    26560 Console                    5   1,49,744 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          3:02:05 N/A                                                                     
brave.exe                    40704 Console                    5     38,856 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:16:23 OleMainThreadWndName                                                    
brave.exe                     4892 Console                    5      7,764 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:13 N/A                                                                     
brave.exe                    14368 Console                    5      2,904 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:04 N/A                                                                     
SecurityHealthSystray.exe    19552 Console                    5        376 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
PhoneExperienceHost.exe       9676 Console                    5     13,828 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:49 .NET-BroadcastEventWindow.bf7771.0                                      
brave.exe                    28036 Console                    5   2,33,636 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:25:32 N/A                                                                     
brave.exe                    41224 Console                    5   4,03,672 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          2:04:00 N/A                                                                     
HPSystemEventUtilityBackg    16860 Console                    5     10,624 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:07 .NET-BroadcastEventWindow.4.0.0.0.b7ab7b.0                              
unsecapp.exe                 19872 Console                    5      3,968 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:02 OleMainThreadWndName                                                    
HPMediaNetwork.exe           33548 Console                    5      5,088 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:05 .NET-BroadcastEventWindow.4.0.0.0.25bb5ff.0                             
RtkAudUService64.exe         32724 Console                    5        932 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:53 RealtekAudioBackgroundProcessClass                                      
brave.exe                    18608 Console                    5     13,584 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:22 N/A                                                                     
OmenCommandCenterBackgrou    18440 Console                    5     89,640 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:51:51 GDI+ Window (OmenCommandCenterBackground.exe)                           
HP.OMEN.VirtualCamHelper.    18408 Console                    5      5,004 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:01:21 C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2602.2.0_x6
conhost.exe                  30656 Console                    5        384 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
svchost.exe                  31160 Console                    5      2,232 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:05 N/A                                                                     
WhatsApp.Root.exe            28992 Console                    5     28,732 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:03:46 GDI+ Window (WhatsApp.Root.exe)                                         
RuntimeBroker.exe            10412 Console                    5      1,584 K Unknown         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:00 N/A                                                                     
msedgewebview2.exe           22668 Console                    5     47,080 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:04:43 N/A                                                                     
msedgewebview2.exe            4504 Console                    5      2,036 K Running         SHIVANSHOWNSTHI\Shivansh Singh                          0:00:01 N/A                                                                     
